"Fecha_Ocurrencia","Codigo_Accidente","Direccion","Barrio","Vehiculos Involucrados","Heridos","Accidente con","Muertes","Clase de Accidente"
"2022 Jan 25 12:00:00 AM","C-001437191","KILOMETRO 46+500 MTS     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 03 12:00:00 AM","A001371879","CARRERA 45 FRENTE 14 - 46","No registra","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Feb 04 12:00:00 AM","A001371880","MANZANA C CASA 21   NUEVA JERUSALEN","NUEVA JERUSALEN","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Feb 05 12:00:00 AM","A001371881","CARRERA 14 CALLE 17   SAN CRISTOBAL","SAN CRISTOBAL","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 07 12:00:00 AM","A001371882","CARRERA 18 CON  8 INTERSECCIÓN","No registra","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Feb 08 12:00:00 AM","A001371883","KILOMETRO 7+700   VÍA DINAMARCA","No registra","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Feb 11 12:00:00 AM","A001371884","CARRERA 23 # 9 - 15","No registra","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Feb 12 12:00:00 AM","A001371885","KILOMETRO 0+500      SANTA TERESITA","No registra","2","0","MUERTOS","3","CHOQUE"
"2022 Feb 13 12:00:00 AM","A001371886","CALLE 15 CARRERA 21","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 15 12:00:00 AM","A001371888","KILOMETRO 0+400     VÍA ANTIGUA GUAMAL","VÍA ANTIGUA GUAMAL","1","1","MUERTOS","1","CHOQUE"
"2022 Feb 12 12:00:00 AM","A001371887","CARRERA 31 # 14 - 46","No registra","2","2","HERIDOS","NO APLICA","ATROPELLO"
"2022 Feb 17 12:00:00 AM","A001371889","CALLE 18 # 17 - 20 MANCERA","MANCERA","1","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 18 12:00:00 AM","A001371890","KILOMETRO 22+880     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","3","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Feb 18 12:00:00 AM","A001371891","CARRERA 23 CALLE 17   MANCERA","MANCERA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 20 12:00:00 AM","A001371893","CARRERA 17 # 21 - 49","No registra","1","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Feb 19 12:00:00 AM","A001371894","KILOMETRO 20+200      PUERTO CANECAS","No registra","1","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Feb 19 12:00:00 AM","A001371892","CARRERA 14 # 19 - 13 SAN CRISTOBAL","SAN CRISTOBAL","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 21 12:00:00 AM","A001371895","CALLE 11 CARRERA 26","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 21 12:00:00 AM","A001371896","CALLE 16 # 47 - 3 COLINAS","COLINAS","2","4","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 22 12:00:00 AM","A001371897","CALLE 25 # 20 - 3 GUARATARA","GUARATARA","1","3","HERIDOS","NO APLICA","ATROPELLO"
"2022 Feb 22 12:00:00 AM","A001371898","CARRERA 14 # 18 - 29 SAN CRISTOBAL","SAN CRISTOBAL","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 26 12:00:00 AM","A001371900","CARRERA 30 # 22A - 20 LA ORQUIDEA REAL","LA ORQUIDEA REAL","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 23 12:00:00 AM","A001371899","CARRERA 45B # 16","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 27 12:00:00 AM","A001371902","DIAGONAL 15 # 32 - 20 VILLA CASTILLA","VILLA CASTILLA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 27 12:00:00 AM","A001371903","AVENIDA 23 # 27 - 33","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 04 12:00:00 AM","C001437205","KILOMETRO 53+500     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Feb 27 12:00:00 AM","A001371905","CALLE 14 # 17 58   CENTRO","CENTRO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Mar 02 12:00:00 AM","A001371904","CARRERA 25 CALLE  23","No registra","3","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Mar 08 12:00:00 AM","A001371907","KILOMETRO 1+700 MTS     BAQUEROS CLUB-CHICHIMENE LOMA DE TIGRE","BAQUEROS CLUB-CHICHIMENE","1","0","DAÑOS MATERIALES","NO APLICA","OTRO"
"2022 Mar 07 12:00:00 AM","A001371906","KILOMETRO 9+200 MTS     BAQUEROS CLUB-CHICHIMENE","BAQUEROS CLUB-CHICHIMENE","1","0","MUERTOS","1","CHOQUE"
"2022 Mar 08 12:00:00 AM","A001371908","CALLE 13 CARRERA  16   CENTRO","CENTRO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Mar 16 12:00:00 AM","A001371912","AVENIDA 23 FRENTE ALA MANGA DE COLEO","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Mar 16 12:00:00 AM","A001371911","AVENIDA 25 # 25 39   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Mar 14 12:00:00 AM","A001371910","KILOMETRO 23 MTS SECTOR CAÑO HONDO    VÍA ACACÍAS-DINAMARCA","VÍA ACACÍAS-DINAMARCA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Mar 13 12:00:00 AM","A001371909","AVENIDA 23 CALLE 9   COOPERATIVO","COOPERATIVO","2","1","HERIDOS","NO APLICA","CHOQUE"
